word,count
هزاران,718
دانش,718
حاکم,717
نیستن,717
جنس,716
طوسی,716
فهمیدم,715
جایزه,715
#KoKobopTeam,715
چهارشنبه,714
بشه.,713
خواستم,713
شعور,713
انگلیسی,711
قضایی,711
چندین,710
مو,710
شکر,710
شهرداری,709
۸,709
بزرگی,708
درویش,708
خیال,707
روزهای,706
مسئولان,706
سالگی,706
آنکه,705
دکتری,704
یار,704
ميكنم,704
محمود,704
کسایی,703
هیچکس,702
فعالان,702
خامنه‌ای,702
راهی,701
اداره,701
ستاد,701
ات,700
شرم,700
کون,700
رجوی,700
مرده,698
غوطه,698
آشنا,697
سرد,697
اسلحه,697
وعده,696
عادت,696
مقایسه,695
عامل,694
#اهواز,694
هاش,692
افتاد,691
رفیق,691
نماد,691
اشک,691
ازین,691
الکی,691
۴۰,691
پیروزی,691
ول,691
م,690
خانوم,690
#KokobopTeam,690
اقا,689
سرباز,689
فجر,688
خواهم,688
صاحب,687
#نه_به_حجاب_اجباری,687
تون,686
است...,686
باشه،,686
میرن,685
براشون,684
تلویزیون,684
دخترا,684
ِ,683
نیستی,683
اختیار,683
ریشه,683
کشوری,683
#Iran,683
جاسوسی,683
پادشاهی,682
اتفاقی,682
اوین,681
مخالفت,680
بدست,680
اومدن,680
طریق,680
چادر,679
خواهر,679
بیاید,679
رعایت,678
فرض,677
خاصی,677
نقطه,676
فرزندان,676
كسي,675
اینهمه,675
آخرش,675
بارها,674
عقل,674
ميكنه,673
رسانی,673
نیست!,673
اعتقاد,672
روایت,672
خجالت,671
قهرمان,671
بزنی,671
بود؟,671
مانده,671
حادثه,671
سراغ,670
اى,670
نظرسنجی,669
بزنیم,669
via,669
بزنید,669
احمق,668
فاسد,668
اوضاع,668
نابودی,668
آمار,668
درگیری,668
تبعیض,667
زمینه,667
شد!,667
KAI,667
علمی,665
برگزاری,665
کوچک,664
تاریخی,664
#IranProtests,663
HV,663
تماس,662
چي,662
کش,661
بذار,661
زندگیم,661
مستقیم,660
فقر,658
نکته,658
۷,657
چندتا,657
ذره,657
روزه,656
سرزمین,656
پیر,655
سالم,655
۹,654
كن,653
خاموش,653
افکار,653
منتقل,652
تسلیت,652
حاجی,649
اونها,649
شوهر,649
تبلیغ,648
منظور,648
توجیه,647
اهواز,646
سراسر,646
كردم,646
؟!,645
مدل,645
شخصیت,645
همسر,645
فرو,645
نشانه,644
کردم.,644
ازشون,644
اعمال,643
#کاووس_سیدامامی,643
دارین,642
وحشی,641
کرمانشاه,640
مصرف,640
پيش,639
خوابم,638
خودمو,638
خاطره,638
قوانین,637
دانلود,637
#سهیل_عربی,637
بيشتر,636
و‌,636
کنفرانس,636
گویا,635
ببینیم,635
بدیم,635
اونوقت,635
ضمن,634
درجه,634
سرت,634
گیری,634
فوق,634
لو,634
دستم,632
#گلرخ_ایرایی,632
ممنوع,632
بشم,632
آلمان,632
افرادی,632
بود!,631
فرزند,631
اعضای,630
۲۰,628
ادعای,628
توسعه,627
تعطیل,627
چو,627
😐,627
فرودگاه,626
دوستی,625
تخریب,625
دفعه,624
علوم,624
عبور,623
مرز,623
post,623
حیف,623
پرده,623
داعشی,623
علیکم,622
مشغول,621
روزگار,621
میگیم,620
طبیعی,620
برن,619
هميشه,619
ميگه,619
ماجرا,619
اخراج,618
گلوله,618
دزدی,617
تولد,617
#نه_به_سهمیه,617
خیانت,616
چ,616
حالم,615
بالاتر,615
تلخ,615
المللی,615
امتحان,614
تشکر,614
ایشالا,614
•,614
نقض,614
مامانم,613
ساز,613
مقابله,613
چنان,612
پزشکی,612
راضی,612
درمان,612
دستگیری,612
کنترل,611
مطمئن,610
تخم,610
دیدار,610
قرمز,610
ایستاده,609
آرام,609
کشف,609
فراخوان,609
نمیتونه,608
میدونی,608
اقای,608
ایران،,608
ج,607
۱,607
سود,606
دختره,606
!!!,606
هنگام,606
#دراویش,606
انسانیت,605
گونه,604
بردن,604
نمیکنم,604
تفکر,604
#خیزش_بهمن,604
هستش,604
ماده,604
نیستند,604
نشست,604
کلیپ,603
کوه,603
کادو,603
بیاین,602
#مریم_رجوی,602
بوده.,602
ماهی,602
مشکلی,601
دونه,601
سابق,601
ارائه,601
همزمان,601
لایک,601
اختلاس,600
چک,600
میکنه.,600
حوصله,600
بعضیا,600
#EXOlympicsD1,600
خودتو,599
مانع,599
دزد,598
اتحاد,598
خویش,597
رنج,597
لبخند,597
گلستان,597
نکردن,596
میرسه,596
مخصوصا,596
تعجب,596
فکری,596
عربی,596
مرکز,595
مهر,595
۸۸,595
خبرنگار,595
سراسری,595
است؛,594
نهایت,594
سریع,594
مامان,594
#TwitterBestFandom,594
سامسونگ,594
صف,593
شتم,592
سند,592
محروم,591
مترو,591
منزل,591
